,labels,1,2,3
496,0,0,0,0
497,3,0,0,1
498,0,0,0,0
499,1,1,0,0
500,1,1,0,0
501,0,0,0,0
502,3,0,0,1
503,1,1,0,0
504,3,0,0,1
505,3,0,0,1
506,0,0,0,0
507,0,0,0,0
508,0,0,0,0
509,1,1,0,0
510,1,1,0,0
511,0,0,0,0
512,1,1,0,0
513,0,0,0,0
514,0,0,0,0
515,0,0,0,0
516,3,0,0,1
517,1,1,0,0
518,2,0,1,0
519,0,0,0,0
520,3,0,0,1
521,3,0,0,1
522,0,0,0,0
523,3,0,0,1
524,0,0,0,0
525,2,0,1,0
526,1,1,0,0
527,1,1,0,0
528,0,0,0,0
529,1,1,0,0
530,3,0,0,1
531,3,0,0,1
532,1,1,0,0
533,3,0,0,1
534,3,0,0,1
535,3,0,0,1
536,0,0,0,0
537,0,0,0,0
538,3,0,0,1
539,3,0,0,1
540,0,0,0,0
541,0,0,0,0
542,3,0,0,1
543,1,1,0,0
544,3,0,0,1
545,1,1,0,0
546,1,1,0,0
547,0,0,0,0
548,3,0,0,1
549,3,0,0,1
550,2,0,1,0
551,0,0,0,0
552,0,0,0,0
553,3,0,0,1
554,0,0,0,0
555,0,0,0,0
556,2,0,1,0
557,3,0,0,1
558,1,1,0,0
559,3,0,0,1
560,1,1,0,0
561,3,0,0,1
562,0,0,0,0
563,1,1,0,0
564,1,1,0,0
565,1,1,0,0
566,3,0,0,1
567,0,0,0,0
568,0,0,0,0
569,1,1,0,0
570,3,0,0,1
571,1,1,0,0
572,0,0,0,0
573,0,0,0,0
574,3,0,0,1
575,3,0,0,1
576,3,0,0,1
577,1,1,0,0
578,0,0,0,0
579,3,0,0,1
580,1,1,0,0
581,3,0,0,1
582,0,0,0,0
583,0,0,0,0
584,3,0,0,1
585,1,1,0,0
586,0,0,0,0
587,1,1,0,0
588,3,0,0,1
589,0,0,0,0
590,1,1,0,0
591,3,0,0,1
592,3,0,0,1
593,3,0,0,1
594,3,0,0,1
595,3,0,0,1
596,0,0,0,0
597,1,1,0,0
598,3,0,0,1
599,2,0,1,0
600,1,1,0,0
601,3,0,0,1
602,3,0,0,1
603,1,1,0,0
604,1,1,0,0
605,3,0,0,1
606,0,0,0,0
607,0,0,0,0
608,3,0,0,1
609,0,0,0,0
610,0,0,0,0
611,0,0,0,0
612,1,1,0,0
613,1,1,0,0
614,3,0,0,1
615,0,0,0,0
616,1,1,0,0
617,1,1,0,0
618,1,1,0,0
619,3,0,0,1
620,3,0,0,1
621,0,0,0,0
622,3,0,0,1
623,0,0,0,0
624,0,0,0,0
625,3,0,0,1
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,3,0,0,1
630,3,0,0,1
631,0,0,0,0
632,0,0,0,0
633,0,0,0,0
634,0,0,0,0
635,1,1,0,0
636,3,0,0,1
637,3,0,0,1
638,3,0,0,1
639,0,0,0,0
640,0,0,0,0
641,3,0,0,1
642,0,0,0,0
643,0,0,0,0
644,1,1,0,0
645,3,0,0,1
646,0,0,0,0
647,0,0,0,0
648,3,0,0,1
649,0,0,0,0
650,0,0,0,0
651,1,1,0,0
652,0,0,0,0
653,0,0,0,0
654,1,1,0,0
655,1,1,0,0
656,0,0,0,0
657,0,0,0,0
658,1,1,0,0
659,2,0,1,0
660,1,1,0,0
661,1,1,0,0
662,0,0,0,0
663,0,0,0,0
664,0,0,0,0
665,0,0,0,0
666,0,0,0,0
667,0,0,0,0
668,3,0,0,1
669,0,0,0,0
670,0,0,0,0
671,0,0,0,0
672,1,1,0,0
673,0,0,0,0
674,3,0,0,1
675,0,0,0,0
676,1,1,0,0
677,3,0,0,1
678,0,0,0,0
679,1,1,0,0
680,3,0,0,1
681,1,1,0,0
682,3,0,0,1
683,0,0,0,0
684,0,0,0,0
685,1,1,0,0
686,3,0,0,1
687,1,1,0,0
688,0,0,0,0
689,0,0,0,0
690,3,0,0,1
691,2,0,1,0
692,3,0,0,1
693,0,0,0,0
694,1,1,0,0
695,3,0,0,1
696,1,1,0,0
697,3,0,0,1
698,3,0,0,1
699,2,0,1,0
700,0,0,0,0
701,0,0,0,0
702,1,1,0,0
703,0,0,0,0
704,3,0,0,1
705,3,0,0,1
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,3,0,0,1
710,3,0,0,1
711,3,0,0,1
712,1,1,0,0
713,3,0,0,1
714,0,0,0,0
715,3,0,0,1
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,3,0,0,1
720,3,0,0,1
721,0,0,0,0
722,1,1,0,0
723,1,1,0,0
724,3,0,0,1
725,3,0,0,1
726,3,0,0,1
727,0,0,0,0
728,0,0,0,0
729,1,1,0,0
730,3,0,0,1
731,1,1,0,0
732,1,1,0,0
733,0,0,0,0
734,3,0,0,1
735,3,0,0,1
736,0,0,0,0
737,1,1,0,0
738,0,0,0,0
739,3,0,0,1
740,3,0,0,1
741,0,0,0,0
742,1,1,0,0
743,1,1,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,1,1,0,0
754,2,0,1,0
755,3,0,0,1
756,1,1,0,0
757,0,0,0,0
758,1,1,0,0
759,0,0,0,0
760,1,1,0,0
761,0,0,0,0
762,1,1,0,0
763,3,0,0,1
764,0,0,0,0
765,1,1,0,0
766,2,0,1,0
767,3,0,0,1
768,0,0,0,0
769,3,0,0,1
770,3,0,0,1
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,1,1,0,0
775,1,1,0,0
776,3,0,0,1
777,0,0,0,0
778,3,0,0,1
779,2,0,1,0
780,0,0,0,0
781,0,0,0,0
782,0,0,0,0
783,0,0,0,0
784,1,1,0,0
785,3,0,0,1
786,0,0,0,0
787,1,1,0,0
788,3,0,0,1
789,0,0,0,0
790,1,1,0,0
791,1,1,0,0
792,1,1,0,0
793,3,0,0,1
794,3,0,0,1
795,0,0,0,0
796,1,1,0,0
797,1,1,0,0
798,1,1,0,0
799,1,1,0,0
800,0,0,0,0
801,1,1,0,0
802,0,0,0,0
803,0,0,0,0
804,0,0,0,0
805,1,1,0,0
806,3,0,0,1
807,1,1,0,0
808,1,1,0,0
809,3,0,0,1
810,1,1,0,0
811,0,0,0,0
812,0,0,0,0
813,1,1,0,0
814,2,0,1,0
815,3,0,0,1
816,1,1,0,0
817,3,0,0,1
818,0,0,0,0
819,3,0,0,1
820,3,0,0,1
821,3,0,0,1
822,0,0,0,0
823,0,0,0,0
824,0,0,0,0
825,0,0,0,0
826,0,0,0,0
827,3,0,0,1
828,1,1,0,0
829,1,1,0,0
830,0,0,0,0
831,3,0,0,1
832,3,0,0,1
833,1,1,0,0
834,3,0,0,1
835,3,0,0,1
836,1,1,0,0
837,1,1,0,0
838,3,0,0,1
839,3,0,0,1
840,3,0,0,1
841,0,0,0,0
842,1,1,0,0
843,3,0,0,1
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,1,1,0,0
849,3,0,0,1
850,1,1,0,0
851,3,0,0,1
852,0,0,0,0
853,0,0,0,0
854,3,0,0,1
855,0,0,0,0
856,3,0,0,1
857,0,0,0,0
858,1,1,0,0
859,3,0,0,1
860,3,0,0,1
861,0,0,0,0
862,1,1,0,0
863,0,0,0,0
864,3,0,0,1
865,3,0,0,1
866,0,0,0,0
867,1,1,0,0
868,0,0,0,0
869,3,0,0,1
870,0,0,0,0
871,1,1,0,0
872,1,1,0,0
873,1,1,0,0
874,1,1,0,0
875,0,0,0,0
876,3,0,0,1
877,0,0,0,0
878,3,0,0,1
879,3,0,0,1
880,0,0,0,0
881,0,0,0,0
882,3,0,0,1
883,0,0,0,0
884,0,0,0,0
885,2,0,1,0
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,1,1,0,0
891,0,0,0,0
892,3,0,0,1
893,0,0,0,0
894,0,0,0,0
895,1,1,0,0
896,2,0,1,0
897,1,1,0,0
898,1,1,0,0
899,3,0,0,1
900,2,0,1,0
901,1,1,0,0
902,0,0,0,0
903,0,0,0,0
904,3,0,0,1
905,0,0,0,0
906,3,0,0,1
907,3,0,0,1
908,0,0,0,0
909,0,0,0,0
910,3,0,0,1
911,1,1,0,0
912,3,0,0,1
913,0,0,0,0
914,3,0,0,1
915,0,0,0,0
916,0,0,0,0
917,3,0,0,1
918,0,0,0,0
919,3,0,0,1
920,3,0,0,1
921,1,1,0,0
922,3,0,0,1
923,2,0,1,0
924,0,0,0,0
925,1,1,0,0
926,3,0,0,1
927,0,0,0,0
928,0,0,0,0
929,3,0,0,1
930,0,0,0,0
931,0,0,0,0
932,3,0,0,1
933,3,0,0,1
934,0,0,0,0
935,0,0,0,0
936,3,0,0,1
937,0,0,0,0
938,3,0,0,1
939,1,1,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,2,0,1,0
945,0,0,0,0
946,3,0,0,1
947,2,0,1,0
948,1,1,0,0
949,1,1,0,0
950,0,0,0,0
951,0,0,0,0
952,1,1,0,0
953,0,0,0,0
954,1,1,0,0
955,0,0,0,0
956,0,0,0,0
957,3,0,0,1
958,0,0,0,0
959,0,0,0,0
960,0,0,0,0
961,1,1,0,0
962,0,0,0,0
963,3,0,0,1
964,1,1,0,0
965,0,0,0,0
966,3,0,0,1
967,1,1,0,0
968,0,0,0,0
969,1,1,0,0
970,0,0,0,0
971,3,0,0,1
972,0,0,0,0
973,1,1,0,0
974,1,1,0,0
975,1,1,0,0
976,3,0,0,1
977,3,0,0,1
978,3,0,0,1
979,0,0,0,0
980,3,0,0,1
981,1,1,0,0
982,1,1,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,3,0,0,1
987,3,0,0,1
988,0,0,0,0
989,1,1,0,0
990,1,1,0,0
991,0,0,0,0
992,0,0,0,0
993,3,0,0,1
994,0,0,0,0
995,3,0,0,1
996,3,0,0,1
997,0,0,0,0
998,3,0,0,1
999,3,0,0,1
1000,0,0,0,0
1001,3,0,0,1
1002,3,0,0,1
1003,0,0,0,0
1004,3,0,0,1
1005,0,0,0,0
1006,1,1,0,0
1007,3,0,0,1
1008,1,1,0,0
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,1,1,0,0
1013,1,1,0,0
1014,0,0,0,0
1015,3,0,0,1
1016,1,1,0,0
1017,0,0,0,0
1018,3,0,0,1
1019,3,0,0,1
1020,1,1,0,0
1021,3,0,0,1
1022,1,1,0,0
1023,0,0,0,0
1024,0,0,0,0
1025,3,0,0,1
1026,0,0,0,0
1027,0,0,0,0
1028,3,0,0,1
1029,0,0,0,0
1030,0,0,0,0
1031,0,0,0,0
1032,1,1,0,0
1033,3,0,0,1
1034,1,1,0,0
1035,0,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,3,0,0,1
1039,1,1,0,0
1040,3,0,0,1
1041,1,1,0,0
1042,0,0,0,0
1043,3,0,0,1
1044,1,1,0,0
1045,1,1,0,0
1046,0,0,0,0
1047,1,1,0,0
1048,1,1,0,0
1049,0,0,0,0
1050,0,0,0,0
1051,0,0,0,0
1052,1,1,0,0
1053,1,1,0,0
1054,0,0,0,0
1055,3,0,0,1
1056,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1059,0,0,0,0
1060,3,0,0,1
1061,1,1,0,0
1062,0,0,0,0
1063,1,1,0,0
1064,0,0,0,0
1065,0,0,0,0
1066,3,0,0,1
1067,0,0,0,0
1068,3,0,0,1
1069,1,1,0,0
1070,1,1,0,0
1071,0,0,0,0
1072,1,1,0,0
1073,0,0,0,0
1074,2,0,1,0
1075,3,0,0,1
1076,3,0,0,1
1077,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1080,3,0,0,1
1081,3,0,0,1
1082,3,0,0,1
1083,0,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1086,0,0,0,0
1087,3,0,0,1
1088,3,0,0,1
1089,0,0,0,0
1090,1,1,0,0
1091,1,1,0,0
1092,2,0,1,0
1093,0,0,0,0
1094,0,0,0,0
1095,1,1,0,0
1096,3,0,0,1
1097,0,0,0,0
1098,0,0,0,0
1099,0,0,0,0
1100,0,0,0,0
1101,0,0,0,0
1102,0,0,0,0
1103,3,0,0,1
1104,1,1,0,0
1105,1,1,0,0
1106,1,1,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,3,0,0,1
1110,3,0,0,1
1111,3,0,0,1
1112,3,0,0,1
1113,1,1,0,0
1114,1,1,0,0
1115,3,0,0,1
1116,0,0,0,0
1117,1,1,0,0
1118,0,0,0,0
1119,0,0,0,0
1120,3,0,0,1
1121,0,0,0,0
1122,1,1,0,0
1123,0,0,0,0
1124,2,0,1,0
1125,0,0,0,0
1126,0,0,0,0
1127,1,1,0,0
1128,0,0,0,0
1129,0,0,0,0
1130,0,0,0,0
1131,1,1,0,0
1132,3,0,0,1
1133,0,0,0,0
1134,3,0,0,1
1135,0,0,0,0
1136,0,0,0,0
1137,3,0,0,1
1138,3,0,0,1
1139,0,0,0,0
1140,0,0,0,0
1141,0,0,0,0
1142,1,1,0,0
1143,1,1,0,0
1144,3,0,0,1
1145,3,0,0,1
1146,1,1,0,0
1147,0,0,0,0
1148,0,0,0,0
1149,3,0,0,1
1150,0,0,0,0
1151,0,0,0,0
1152,0,0,0,0
1153,3,0,0,1
1154,1,1,0,0
1155,0,0,0,0
1156,1,1,0,0
1157,3,0,0,1
1158,3,0,0,1
1159,0,0,0,0
1160,3,0,0,1
1161,0,0,0,0
1162,0,0,0,0
1163,0,0,0,0
1164,1,1,0,0
1165,0,0,0,0
1166,0,0,0,0
1167,3,0,0,1
1168,0,0,0,0
1169,3,0,0,1
1170,0,0,0,0
1171,1,1,0,0
1172,1,1,0,0
1173,1,1,0,0
1174,2,0,1,0
1175,0,0,0,0
1176,0,0,0,0
1177,0,0,0,0
1178,3,0,0,1
1179,0,0,0,0
1180,1,1,0,0
1181,1,1,0,0
1182,1,1,0,0
1183,0,0,0,0
1184,1,1,0,0
1185,0,0,0,0
1186,0,0,0,0
1187,0,0,0,0
1188,0,0,0,0
1189,3,0,0,1
1190,0,0,0,0
1191,3,0,0,1
1192,3,0,0,1
1193,0,0,0,0
1194,0,0,0,0
1195,0,0,0,0
1196,0,0,0,0
1197,1,1,0,0
1198,0,0,0,0
1199,1,1,0,0
1200,3,0,0,1
1201,1,1,0,0
1202,0,0,0,0
1203,0,0,0,0
1204,3,0,0,1
1205,1,1,0,0
1206,0,0,0,0
1207,0,0,0,0
1208,1,1,0,0
1209,0,0,0,0
1210,0,0,0,0
1211,3,0,0,1
1212,0,0,0,0
1213,3,0,0,1
1214,0,0,0,0
1215,0,0,0,0
1216,1,1,0,0
1217,0,0,0,0
1218,3,0,0,1
1219,1,1,0,0
1220,3,0,0,1
1221,0,0,0,0
1222,1,1,0,0
1223,3,0,0,1
1224,0,0,0,0
1225,0,0,0,0
1226,3,0,0,1
1227,3,0,0,1
1228,0,0,0,0
1229,3,0,0,1
1230,0,0,0,0
1231,0,0,0,0
1232,3,0,0,1
1233,3,0,0,1
1234,0,0,0,0
1235,0,0,0,0
1236,3,0,0,1
1237,0,0,0,0
1238,0,0,0,0
1239,0,0,0,0
1240,1,1,0,0
1241,0,0,0,0
1242,0,0,0,0
1243,3,0,0,1
1244,0,0,0,0
1245,1,1,0,0
1246,1,1,0,0
1247,2,0,1,0
1248,1,1,0,0
1249,0,0,0,0
1250,3,0,0,1
1251,0,0,0,0
1252,0,0,0,0
1253,1,1,0,0
1254,3,0,0,1
1255,1,1,0,0
1256,0,0,0,0
1257,3,0,0,1
1258,0,0,0,0
1259,3,0,0,1
1260,1,1,0,0
1261,0,0,0,0
1262,1,1,0,0
1263,0,0,0,0
1264,3,0,0,1
1265,1,1,0,0
1266,0,0,0,0
1267,0,0,0,0
1268,3,0,0,1
1269,0,0,0,0
1270,0,0,0,0
1271,3,0,0,1
1272,2,0,1,0
1273,3,0,0,1
1274,0,0,0,0
1275,0,0,0,0
1276,0,0,0,0
1277,1,1,0,0
1278,2,0,1,0
1279,1,1,0,0
1280,0,0,0,0
1281,0,0,0,0
1282,2,0,1,0
1283,0,0,0,0
1284,0,0,0,0
1285,3,0,0,1
1286,3,0,0,1
1287,3,0,0,1
1288,3,0,0,1
1289,3,0,0,1
1290,3,0,0,1
1291,3,0,0,1
1292,0,0,0,0
1293,0,0,0,0
1294,3,0,0,1
1295,0,0,0,0
1296,2,0,1,0
1297,0,0,0,0
1298,1,1,0,0
1299,3,0,0,1
1300,0,0,0,0
1301,0,0,0,0
1302,3,0,0,1
1303,0,0,0,0
1304,1,1,0,0
1305,1,1,0,0
1306,0,0,0,0
1307,1,1,0,0
1308,3,0,0,1
1309,0,0,0,0
1310,3,0,0,1
1311,3,0,0,1
1312,0,0,0,0
1313,3,0,0,1
1314,0,0,0,0
1315,2,0,1,0
1316,1,1,0,0
1317,1,1,0,0
1318,3,0,0,1
1319,0,0,0,0
1320,0,0,0,0
1321,0,0,0,0
1322,0,0,0,0
1323,3,0,0,1
1324,3,0,0,1
1325,0,0,0,0
1326,0,0,0,0
1327,0,0,0,0
1328,2,0,1,0
1329,1,1,0,0
1330,1,1,0,0
1331,3,0,0,1
1332,0,0,0,0
1333,3,0,0,1
1334,0,0,0,0
1335,1,1,0,0
1336,0,0,0,0
1337,0,0,0,0
1338,1,1,0,0
1339,3,0,0,1
1340,0,0,0,0
1341,1,1,0,0
1342,0,0,0,0
1343,3,0,0,1
1344,0,0,0,0
1345,0,0,0,0
1346,1,1,0,0
1347,1,1,0,0
1348,0,0,0,0
1349,0,0,0,0
1350,0,0,0,0
1351,3,0,0,1
1352,0,0,0,0
1353,1,1,0,0
1354,0,0,0,0
1355,0,0,0,0
1356,1,1,0,0
1357,1,1,0,0
1358,0,0,0,0
1359,0,0,0,0
1360,0,0,0,0
